Company,Sector,City,Tier (proposed),Site employees,Cafeteria evidence,Operator,Buyer titles,Fit hypothesis,Source,Route time,Contract access
Air Canada,Aviation,Saint-Laurent,A,Unverified,Published HQ cafeteria project; current access to confirm,Unverified,Workplace / Facilities / Food Services,Large-site recurring service hypothesis,https://int.design/fr/projets/air-canada-cafeteria/,Unverified,Unverified
National Bank,Banking,Montréal,A,Unverified,Published cafeteria project; current site to confirm,Unverified,Workplace / Facilities / Food Services,Large-site recurring service hypothesis,https://vad.qc.ca/en/projects/corporate/the-district-at-national-bank/,Unverified,Unverified
CN,Transportation,Montréal,A,Unverified,Historical cafeteria evidence (2016); revalidate,Unverified,Workplace / Facilities / Food Services,Large-site recurring service hypothesis,https://www.canadastop100.com/montreal/montreal2016.pdf,Unverified,Unverified
ABB Canada,Industrial technology,Saint-Laurent,A,Unverified,Not verified,Unverified,Workplace / Facilities / Food Services,Large-site recurring service hypothesis,https://www.canadastop100.com/2026/mtl2026-release-fr.pdf,Unverified,Unverified
Bombardier,Aerospace,Dorval,A,Unverified,Not verified,Unverified,Workplace / Facilities / Food Services,Large-site recurring service hypothesis,https://www.canadastop100.com/2026/mtl2026-release-fr.pdf,Unverified,Unverified
L’Oréal Canada,Beauty,Montréal,A,Unverified,Not verified,Unverified,Workplace / Facilities / Food Services,Large-site recurring service hypothesis,https://www.canadastop100.com/2026/mtl2026-release-fr.pdf,Unverified,Unverified
Groupe Dynamite,Fashion,Mont-Royal,A,Unverified,Not verified,Unverified,Workplace / Facilities / Food Services,Large-site recurring service hypothesis,https://www.canadastop100.com/2026/mtl2026-release-fr.pdf,Unverified,Unverified
Danone Canada,Food,Boucherville,A,Unverified,Not verified,Unverified,Workplace / Facilities / Food Services,Large-site recurring service hypothesis,https://www.canadastop100.com/2026/mtl2026-release-fr.pdf,Unverified,Unverified
Keurig Dr Pepper Canada,Beverages,Montréal,A,Unverified,Not verified,Unverified,Workplace / Facilities / Food Services,Large-site recurring service hypothesis,https://www.canadastop100.com/2026/mtl2026-release-fr.pdf,Unverified,Unverified
Rolls-Royce Canada,Aerospace,Lachine,A,Unverified,Not verified,Unverified,Workplace / Facilities / Food Services,Large-site recurring service hypothesis,https://www.canadastop100.com/2026/mtl2026-release-fr.pdf,Unverified,Unverified
AtkinsRéalis,Engineering,Montréal,B,Unverified,Not verified,Unverified,Workplace / Facilities / Food Services,Workplace program hypothesis,https://www.canadastop100.com/2026/mtl2026-release-fr.pdf,Unverified,Unverified
WSP Canada,Engineering,Montréal,B,Unverified,Not verified,Unverified,Workplace / Facilities / Food Services,Workplace program hypothesis,https://www.canadastop100.com/2026/mtl2026-release-fr.pdf,Unverified,Unverified
BDC,Finance,Montréal,B,Unverified,Not verified,Unverified,Workplace / Facilities / Food Services,Workplace program hypothesis,https://www.canadastop100.com/2026/mtl2026-release-fr.pdf,Unverified,Unverified
BNP Paribas,Banking,Montréal,B,Unverified,Not verified,Unverified,Workplace / Facilities / Food Services,Workplace program hypothesis,https://www.canadastop100.com/2026/mtl2026-release-fr.pdf,Unverified,Unverified
Rio Tinto,Resources,Montréal,B,Unverified,Not verified,Unverified,Workplace / Facilities / Food Services,Workplace program hypothesis,https://www.canadastop100.com/2026/mtl2026-release-fr.pdf,Unverified,Unverified
Gildan,Apparel,Montréal,B,Unverified,Not verified,Unverified,Workplace / Facilities / Food Services,Workplace program hypothesis,https://www.canadastop100.com/2026/mtl2026-release-fr.pdf,Unverified,Unverified
Bausch Health,Pharma,Laval,B,Unverified,Not verified,Unverified,Workplace / Facilities / Food Services,Workplace program hypothesis,https://www.canadastop100.com/2026/mtl2026-release-fr.pdf,Unverified,Unverified
IQVIA Canada,Life sciences,Kirkland,B,Unverified,Not verified,Unverified,Workplace / Facilities / Food Services,Workplace program hypothesis,https://www.canadastop100.com/2026/mtl2026-release-fr.pdf,Unverified,Unverified
Zoetis Canada,Animal health,Kirkland,B,Unverified,Not verified,Unverified,Workplace / Facilities / Food Services,Workplace program hypothesis,https://www.canadastop100.com/2026/mtl2026-release-fr.pdf,Unverified,Unverified
Matrox Graphics,Technology,Dorval,B,Unverified,Not verified,Unverified,Workplace / Facilities / Food Services,Workplace program hypothesis,https://www.canadastop100.com/2026/mtl2026-release-fr.pdf,Unverified,Unverified
Lightspeed,Technology,Montréal,B,Unverified,Not verified,Unverified,Workplace / Facilities / Food Services,Workplace program hypothesis,https://www.canadastop100.com/2026/mtl2026-release-fr.pdf,Unverified,Unverified
DRW Canada,Trading,Montréal,B,Unverified,Not verified,Unverified,Workplace / Facilities / Food Services,Workplace program hypothesis,https://www.canadastop100.com/2026/mtl2026-release-fr.pdf,Unverified,Unverified
McGill University,Education,Montréal,B,Unverified,Not verified,Unverified,Workplace / Facilities / Food Services,Workplace program hypothesis,https://www.canadastop100.com/2026/mtl2026-release-fr.pdf,Unverified,Unverified
Concordia University,Education,Montréal,B,Unverified,Not verified,Unverified,Workplace / Facilities / Food Services,Workplace program hypothesis,https://www.canadastop100.com/2026/mtl2026-release-fr.pdf,Unverified,Unverified
Aéroports de Montréal,Airport operations,Dorval,B,Unverified,Not verified,Unverified,Workplace / Facilities / Food Services,Workplace program hypothesis,https://www.canadastop100.com/2026/mtl2026-release-fr.pdf,Unverified,Unverified
Alcoa Canada,Industrial,Montréal,C,Unverified,Not verified,Unverified,Workplace / Facilities / Food Services,Development / attendance qualification,https://www.canadastop100.com/2026/mtl2026-release-fr.pdf,Unverified,Unverified
Browns Shoes,Retail headquarters,Saint-Laurent,C,Unverified,Not verified,Unverified,Workplace / Facilities / Food Services,Development / attendance qualification,https://www.canadastop100.com/2026/mtl2026-release-fr.pdf,Unverified,Unverified
Broadsign,Technology,Montréal,C,Unverified,Not verified,Unverified,Workplace / Facilities / Food Services,Development / attendance qualification,https://www.canadastop100.com/2026/mtl2026-release-fr.pdf,Unverified,Unverified
Cerence Technologies,Technology,Montréal,C,Unverified,Not verified,Unverified,Workplace / Facilities / Food Services,Development / attendance qualification,https://www.canadastop100.com/2026/mtl2026-release-fr.pdf,Unverified,Unverified
Clarins Canada,Beauty,Laval,C,Unverified,Not verified,Unverified,Workplace / Facilities / Food Services,Development / attendance qualification,https://www.canadastop100.com/2026/mtl2026-release-fr.pdf,Unverified,Unverified
Coveo,Technology,Montréal,C,Unverified,Not verified,Unverified,Workplace / Facilities / Food Services,Development / attendance qualification,https://www.canadastop100.com/2026/mtl2026-release-fr.pdf,Unverified,Unverified
Croesus Finansoft,Technology,Laval,C,Unverified,Not verified,Unverified,Workplace / Facilities / Food Services,Development / attendance qualification,https://www.canadastop100.com/2026/mtl2026-release-fr.pdf,Unverified,Unverified
